food,1998,2004,2006,2008,population
Tree nuts,73.21,0.76,0.51,0.68,children
"Fruit, total",106.67,102.7,104.25,101.9,adults
"Apples, total",19.32,19.3,19.85,21.77,adults
Apples ,12.93,12.64,11.75,11.6,adults
Apple juice3,6.81,7.45,8.45,9.47,adults
Bananas,11.71,10.88,10.25,10.73,adults
Berries,4.12,5.19,6.1,6.23,adults
Grapes,5.72,6.63,7.61,8.23,adults
Melons,4.63,4.23,4.4,4.38,adults
"Oranges, total",35.63,33.49,34.58,28.71,adults
Oranges,4.03,3.28,3.32,2.67,adults
Orange juice4,31.78,30.34,31.32,26.05,adults
Other citrus fruits,7.73,5.62,4.38,5.13,adults
Stone fruits,7.43,7.55,6.87,7.45,adults
Tropical fruits,4.16,4.16,3.8,3.93,adults
"Vegetables, total",125.11,117.48,116.9,118.63,adults
"Brassica, total",7.28,7.18,7.34,7.79,adults
Broccoli and cauliflower,3.44,3.49,3.65,4,adults
Carrots,4.87,3.74,3.57,3.55,adults
Celery,2.44,2.23,2.29,2.62,adults
Cucumbers,1.53,1.68,1.77,1.63,adults
Green peas,1.79,1.52,1.32,1.56,adults
"Leafy vegetables, total",0.31,0.64,0.77,0.63,adults
Lettuce,9.03,10.36,9.55,9.01,adults
Onions,5.03,5.39,5.46,6.1,adults
Peppers,4.22,4.13,4.59,5.37,adults
Tomatoes,22.55,19.78,20.92,20.89,adults
Sweet corn,6.97,5.89,6.41,5.55,adults
Potatoes,36.51,34.54,31.38,32.82,adults
Snap beans,3.12,3.05,3.07,3.29,adults
"Legumes, dried",5.22,4.29,4.28,4.44,adults
"Dairy, total",154.71,157,159.8,157.74,adults
"Fluid milk, total",102.03,99.85,100.42,98.07,adults
"Fluid milk, 1-percent fat5",11.52,12.57,12.52,12.63,adults
"Fluid milk, 2-percent fat5",32.95,31.3,31.44,30.15,adults
"Fluid milk, skim5",18.77,17.19,16.97,18.15,adults
"Fluid milk, whole5",29.65,27.32,26.62,23.86,adults
Butter,1.99,2.2,2.45,2.48,adults
Cheese,10.83,11.97,12.73,13.05,adults
Yogurt,3.98,5.43,7.23,7.81,adults
"Dairy, other",4.05,8.81,8.68,9.37,adults
"Meat, poultry, and fish, total",94.54,95.8,96.18,97.81,adults
"Meat, total",56.13,55.87,54.29,55.45,adults
Beef,31.17,29.95,30.27,30.4,adults
Pork,25.2,26.41,23.83,25.06,adults
"Poultry, total",32.49,32.34,32.79,34.47,adults
Chicken,25.36,25.56,26.43,27.38,adults
Turkey,7.39,6.93,6.8,7.52,adults
Finfish and shellfish,5.96,7.12,7.94,7.5,adults
Eggs6,13.79,15.49,14.78,14.55,adults
"Grains, total",95.48,90.02,89.72,96.49,adults
Corn flour,7.91,9.41,9.45,10.41,adults
Oat flour,2.54,2.76,2.69,2.83,adults
"Rice, dried",8.1,8.5,8.92,9.24,adults
Wheat flour,70.85,61.63,60.52,65.07,adults
"Fat and oils, total",29.93,38.59,38.95,41.89,adults
Margarine,4.44,2.46,1.97,2.18,adults
Salad and cooking oils,11.18,15.15,17.15,20.81,adults
Shortening,6.47,8.96,7.26,5.97,adults
"Oils, other",0.28,0.96,1.23,1.04,adults
Caloric sweeteners,54.59,58.31,57.72,58.01,adults
"Nuts, total",5.63,8.63,8.58,8.81,adults
Peanuts,4.11,5.55,5.99,5.65,adults
Tree nuts,74.92,3.12,2.56,3.13,adults
