food,1998,2004,2006,2008,education
Wheat flour,31.05,34.59,35.47,32.72,HS
"Fat and oils, total",18.71,27.34,25.93,25.98,HS
Margarine,1.41,1.01,0.85,0.85,HS
Salad and cooking oils,6.79,12.35,12.36,14.63,HS
Shortening,4.92,8.54,6.84,4.62,HS
"Oils, other",0.74,0.16,0.25,0.23,HS
Caloric sweeteners,27.5,26.93,25.46,24.03,HS
"Nuts, total",1,0.74,0.81,0.65,HS
Peanuts,0.73,0.56,0.44,0.41,HS
Tree nuts,0.28,0.17,0.35,0.23,HS
"Fruit, total",19.17,17.79,15.81,16.45,college
"Apples, total",2.78,2.27,2.39,2.24,college
Apples ,1.77,1.44,1.48,1.07,college
Apple juice1,1.04,0.91,0.97,1.13,college
Bananas,0.78,0.62,0.71,0.73,college
Berries,1.16,0.88,0.58,0.99,college
Grapes,0.88,0.96,0.64,1.05,college
Melons,1.26,1.23,0.56,1.04,college
"Oranges, total",6,5.9,6,5.51,college
Oranges ,0.33,0.23,0.24,0.16,college
Orange juice2,5.57,5.58,5.7,5.34,college
Other citrus fruits,2.28,2.64,1.59,2.26,college
Stone fruits,1.06,0.95,0.78,0.37,college
Tropical fruits,1.58,0.93,1.39,0.95,college
"Vegetables, total",78.28,82.56,77.2,68.97,college
"Brassica, total",3.65,3.82,3.72,3.27,college
Broccoli and cauliflower,1.64,1.87,1.75,1.47,college
Carrots,2.03,1.5,1.25,1.06,college
Celery,1.38,1.14,1.09,0.7,college
Cucumbers,0.9,0.94,0.88,1.06,college
Green peas,0.51,0.44,0.43,0.47,college
"Leafy vegetables, total",0.31,0.6,0.7,0.57,college
Lettuce,10.43,11.38,10.73,9.52,college
Onions,4.03,5.04,4.67,4.39,college
Peppers,3.52,4.66,5.25,4.06,college
Tomatoes,12.46,14.59,13.9,12.93,college
Sweet corn,2.07,1.33,1.29,1.1,college
Potatoes,32.12,30.67,28.8,24.93,college
Snap beans,1.16,1.51,1.19,0.89,college
"Legumes, dried",2.41,2.41,2.64,2.22,college
"Dairy, total",37.58,31.64,32.63,34.95,college
"Fluid milk, total3",19.4,13.35,13.68,14.96,college
"Fluid milk, 1-percent fat3",1.21,1.33,1.3,1.07,college
"Fluid milk, 2-percent fat3",4.28,2.68,2.65,3.21,college
"Fluid milk, skim3",4.52,2.96,2.88,2.86,college
"Fluid milk, whole3",6.9,4.58,5,5.64,college
Butter,0.98,0.93,0.73,0.89,college
Cheese,8.25,9.34,9.91,10.08,college
Yogurt,0.58,0.9,0.61,1.05,college
"Dairy, other",2.54,4.01,4.49,4.31,college
"Meat, poultry, and fish, total",62.88,70.24,69.72,64.43,college
"Meat, total",32.79,32.93,34.7,30.66,college
Beef,20.91,20.67,22.33,19.06,college
Pork,10.56,11.05,11.72,10.82,college
"Poultry, total",23.84,30.54,30.82,28.07,college
Chicken,20.66,27.27,27.76,25.18,college
Turkey,2.9,3.12,2.67,2.55,college
Finfish and shellfish,5.71,6.18,4.5,5.18,college
Eggs4,6.27,7.47,8.05,6.44,college
"Grains, total",44,47.64,48.65,45.9,college
Corn flour,2.51,3.08,3.68,3.43,college
Oat flour,0.15,0.08,0.12,0.12,college
"Rice, dried",3.78,4.2,4.69,3.91,college
Wheat flour,35.92,38.24,38.02,36.33,college
"Fat and oils, total",21.88,29.91,29.85,29.55,college
Margarine,1.71,1.31,1.05,0.85,college
Salad and cooking oils,8.62,13.21,14.14,17.02,college
Shortening,5.29,8.98,7.45,4.96,college
"Oils, other",0.69,0.21,0.25,0.29,college
Caloric sweeteners,26.42,24.35,24.4,22.66,college
"Nuts, total",1.81,1.52,1.14,1.22,college
Peanuts,1.05,1.12,0.64,0.71,college
Tree nuts,0.88,0.39,0.49,0.5,college
