food,1998,2004,2006,2008,gender
Shortening,5.62,7.71,6.17,4.68,girls
"Oils, other",0.26,0.39,0.69,0.58,girls
Caloric sweeteners,55.55,52.82,50.28,47.53,girls
"Nuts, total",4.66,4.84,3.33,4.13,girls
Peanuts,4.02,3.85,3.04,3.57,girls
Tree nuts,67.72,0.92,0.36,0.61,girls
"Fruit, total",110.48,104.26,110.78,105.96,men
"Apples, total",20.61,19.05,20.63,23.17,men
Apples ,13.15,13.13,11.8,11.44,men
Apple juice3,7.76,6.89,9.1,11.2,men
Bananas,11.88,11.57,10.66,10.7,men
Berries,4.1,4.3,5.16,5.65,men
Grapes,6.15,7.24,8.53,8.76,men
Melons,4.15,3.79,3.43,4.67,men
"Oranges, total",38.24,35.87,40.49,31.27,men
Oranges ,4.15,3.02,3.02,2.8,men
Orange juice4,34.22,32.81,37.34,28.49,men
Other citrus fruits,7.87,5.94,3.99,4.17,men
Stone fruits,7.2,7.2,6.26,6.68,men
Tropical fruits,3.81,2.82,4.04,4.05,men
"Vegetables, total",140.89,129.91,125.26,127.85,men
"Brassica, total",7.22,6.53,6.36,6.99,men
Broccoli and cauliflower,3.28,2.88,3.05,3.34,men
Carrots,4.87,3.68,3.59,3.33,men
Celery,2.67,2.24,2.37,2.83,men
Cucumbers,1.68,1.48,1.48,1.33,men
Green peas,1.97,1.79,1.42,1.57,men
"Leafy vegetables, total",0.3,0.59,0.69,0.59,men
Lettuce,8.97,9.94,9.05,8.55,men
Onions,5.89,6.45,6.14,6.95,men
Peppers,4.67,5.05,5.14,6.54,men
Tomatoes,26.5,22.72,23.11,23.62,men
Sweet corn,7.93,7.03,7.34,5.83,men
Potatoes,43.82,41.24,37.86,39.08,men
Snap beans,3.28,3.04,2.51,3.29,men
"Legumes, dried",6.47,5.11,5.04,5.42,men
"Dairy, total",172.52,172.03,172.53,167.61,men
"Fluid milk, total",115.04,110.39,110.17,106.52,men
"Fluid milk, 1-percent fat5",13.63,13.51,12.74,12.18,men
"Fluid milk, 2-percent fat5",39.27,34.32,36.41,33.17,men
"Fluid milk, skim5",18.66,16.93,17.41,19.35,men
"Fluid milk, whole5",34.66,33.46,29.87,27.42,men
Butter,2.33,2.54,2.72,2.78,men
Cheese,12.55,13.55,13.54,14.23,men
Yogurt,3.05,4.43,5.52,5.34,men
"Dairy, other",4.73,9.16,9.78,9.61,men
"Meat, poultry, and fish, total",115.67,115.96,116.62,118.87,men
"Meat, total",71.5,70.53,71.04,71.56,men
Beef,39.26,37.76,39.7,38.92,men
Pork,32.66,33.26,30.73,32.27,men
"Poultry, total",37.98,36.96,36.23,37.57,men
Chicken,28.82,28.99,29.68,30.38,men
Turkey,9.55,8.16,6.9,7.45,men
Finfish and shellfish,6.48,8.09,8.47,9.27,men
Eggs6,16.16,17.39,17.47,17.02,men
"Grains, total",110.01,103.74,101.11,109.06,men
Corn flour,9.38,11.39,10.98,12.26,men
Oat flour,2.78,2.73,2.6,2.91,men
"Rice, dried",9.26,9.45,9.61,10.4,men
Wheat flour,81.83,71.85,69.33,73.98,men
"Fat and oils, total",34.57,43.35,44.17,46.62,men
Margarine,4.88,2.61,2.15,2.34,men
Salad and cooking oils,13,17.41,19.34,23.65,men
Shortening,7.75,10.33,9.02,6.79,men
"Oils, other",0.3,0.93,1.18,0.87,men
Caloric sweeteners,63.09,69.01,69.37,66.3,men
"Nuts, total",7.36,9.87,10.24,9.67,men
Peanuts,5.6,6.43,7.57,6.45,men
Tree nuts,77.41,3.48,2.7,3.22,men
"Fruit, total",103.17,101.29,98.16,98.13,women
"Apples, total",18.13,19.52,19.12,20.48,women
Apples ,12.73,12.19,11.72,11.75,women
Apple juice3,5.92,7.96,7.84,7.86,women
Bananas,11.55,10.25,9.86,10.75,women
Berries,4.14,5.99,6.96,6.77,women
Grapes,5.32,6.07,6.76,7.73,women
Melons,5.06,4.64,5.31,4.1,women
"Oranges, total",33.22,31.29,29.07,26.32,women
Oranges ,3.93,3.51,3.6,2.55,women
Orange juice4,29.53,28.06,25.7,23.8,women
Other citrus fruits,7.6,5.33,4.74,6.01,women
Stone fruits,7.65,7.87,7.44,8.15,women
Tropical fruits,4.49,5.39,3.58,3.83,women
"Vegetables, total",110.61,106.06,109.1,110.06,women
"Brassica, total",7.34,7.77,8.26,8.53,women
Broccoli and cauliflower,3.59,4.05,4.2,4.61,women
Carrots,4.87,3.8,3.55,3.75,women
Celery,2.23,2.23,2.22,2.42,women
Cucumbers,1.4,1.86,2.05,1.91,women
Green peas,1.62,1.27,1.23,1.54,women
"Leafy vegetables, total",0.32,0.69,0.86,0.66,women
Lettuce,9.09,10.74,10.01,9.43,women
Onions,4.24,4.42,4.82,5.32,women
Peppers,3.8,3.29,4.08,4.28,women
Tomatoes,18.92,17.07,18.88,18.35,women
Sweet corn,6.08,4.85,5.54,5.29,women
Potatoes,29.78,28.38,25.33,27.02,women
Snap beans,2.97,3.06,3.6,3.29,women
"Legumes, dried",4.07,3.52,3.56,3.54,women
"Dairy, total",138.31,143.19,147.91,148.55,women
"Fluid milk, total",90.06,90.17,91.32,90.2,women
"Fluid milk, 1-percent fat5",9.58,11.7,12.33,13.06,women
"Fluid milk, 2-percent fat5",27.13,28.52,26.82,27.34,women
"Fluid milk, skim5",18.88,17.43,16.55,17.03,women
"Fluid milk, whole5",25.04,21.66,23.6,20.57,women
Butter,1.68,1.89,2.18,2.19,women
Cheese,9.26,10.52,11.98,11.97,women
Yogurt,4.84,6.35,8.84,10.12,women
"Dairy, other",3.43,8.49,7.65,9.15,women
"Meat, poultry, and fish, total",75.08,77.29,77.12,78.26,women
"Meat, total",41.99,42.41,38.68,40.47,women
Beef,23.73,22.78,21.48,22.48,women
Pork,18.33,20.11,17.4,18.35,women
"Poultry, total",27.43,28.1,29.59,31.59,women
Chicken,22.18,22.39,23.4,24.6,women
Turkey,5.4,5.8,6.69,7.57,women
Finfish and shellfish,5.48,6.23,7.44,5.86,women
Eggs6,11.6,13.73,12.29,12.27,women
"Grains, total",82.09,77.4,79.1,84.81,women
Corn flour,6.55,7.59,8.01,8.69,women
Oat flour,2.32,2.79,2.76,2.75,women
"Rice, dried",7.03,7.63,8.29,8.17,women
Wheat flour,60.74,52.25,52.31,56.79,women
"Fat and oils, total",25.66,34.22,34.1,37.5,women
Margarine,4.04,2.32,1.8,2.03,women
Salad and cooking oils,9.5,13.07,15.1,18.16,women
Shortening,5.3,7.71,5.62,5.21,women
"Oils, other",0.25,0.98,1.27,1.21,women
Caloric sweeteners,46.74,48.46,46.86,50.32,women
"Nuts, total",4.03,7.48,7.03,8.02,women
Peanuts,2.74,4.73,4.53,4.92,women
Tree nuts,72.19,2.8,2.45,3.07,women
