food,1998,2004,2006,2008,population
Tree nuts,0.21,0.11,0.13,0.14,children
"Fruit, total",15.63,15.91,13.95,13.82,adults
"Apples, total",2.31,2.20,2.08,2.01,adults
Apples ,1.47,1.24,1.22,0.95,adults
Apple juice3,0.87,0.99,0.90,1.03,adults
Bananas,0.64,0.61,0.58,0.67,adults
Berries,0.85,0.68,0.58,0.76,adults
Grapes,0.75,0.79,0.61,0.80,adults
Melons,0.94,1.03,0.58,0.76,adults
"Oranges, total",5.04,5.37,5.07,4.46,adults
Oranges,0.30,0.23,0.22,0.16,adults
Orange juice4,4.68,5.05,4.79,4.29,adults
Other citrus fruits,1.90,2.23,1.53,2.12,adults
Stone fruits,0.89,0.78,0.67,0.39,adults
Tropical fruits,1.19,0.92,1.15,0.83,adults
"Vegetables, total",68.44,75.30,69.70,64.24,adults
"Brassica, total",3.16,3.49,3.17,3.12,adults
Broccoli and cauliflower,1.32,1.64,1.40,1.35,adults
Carrots,1.65,1.25,1.03,0.93,adults
Celery,1.12,1.03,0.91,0.63,adults
Cucumbers,0.77,0.81,0.76,0.97,adults
Green peas,0.48,0.38,0.37,0.37,adults
"Leafy vegetables, total",0.23,0.46,0.56,0.45,adults
Lettuce,8.04,8.86,8.69,7.74,adults
Onions,3.33,4.46,4.13,3.92,adults
Peppers,2.84,4.26,4.46,3.57,adults
Tomatoes,10.60,13.27,12.39,11.64,adults
Sweet corn,1.82,1.46,1.47,1.32,adults
Potatoes,31.07,30.43,27.75,25.57,adults
Snap beans,0.97,1.20,1.23,0.97,adults
"Legumes, dried",2.01,2.06,2.29,1.98,adults
"Dairy, total",35.37,29.22,29.33,31.17,adults
"Fluid milk, total",18.85,12.51,12.26,13.23,adults
"Fluid milk, 1-percent fat5",1.17,1.20,1.05,0.86,adults
"Fluid milk, 2-percent fat5",4.03,2.71,2.35,2.82,adults
"Fluid milk, skim5",4.45,2.45,2.59,2.58,adults
"Fluid milk, whole5",6.70,4.52,4.63,5.02,adults
Butter,0.94,0.80,0.67,0.80,adults
Cheese,7.38,8.73,9.03,9.33,adults
Yogurt,0.51,0.66,0.41,0.76,adults
"Dairy, other",2.08,3.50,4.12,3.81,adults
"Meat, poultry, and fish, total",58.94,65.45,65.65,61.39,adults
"Meat, total",32.77,33.27,33.25,30.90,adults
Beef,21.05,21.47,21.45,19.76,adults
Pork,10.43,10.65,11.05,10.29,adults
"Poultry, total",20.76,26.98,28.73,25.66,adults
Chicken,18.19,24.50,26.07,23.23,adults
Turkey,2.36,2.34,2.27,2.10,adults
Finfish and shellfish,4.92,4.99,4.05,4.55,adults
Eggs6,6.07,6.72,6.98,6.41,adults
"Grains, total",39.05,43.30,44.19,41.89,adults
Corn flour,2.30,2.97,3.20,3.01,adults
Oat flour,0.13,0.10,0.12,0.10,adults
"Rice, dried",2.92,3.53,3.78,3.55,adults
Wheat flour,32.48,34.90,35.18,33.41,adults
"Fat and oils, total",19.69,27.28,27.08,27.05,adults
Margarine,1.53,1.13,0.91,0.80,adults
Salad and cooking oils,7.49,12.07,12.86,15.50,adults
Shortening,4.99,8.40,6.94,4.69,adults
"Oils, other",0.70,0.18,0.24,0.25,adults
Caloric sweeteners,26.65,23.94,24.08,22.16,adults
"Nuts, total",1.31,1.21,0.96,0.89,adults
Peanuts,0.84,0.89,0.54,0.53,adults
Tree nuts,0.52,0.31,0.41,0.36,adults
