food,1998,2004,2006,2008,education
"Rice, dried",6.8,5.95,7.67,7.65,HS
Wheat flour,69.67,63.3,61.87,64.9,HS
"Fat and oils, total",30.01,41.4,40.84,43.5,HS
Margarine,4.59,2.74,1.98,2.34,HS
Salad and cooking oils,11.16,15.98,17.93,21.29,HS
Shortening,6.47,9.41,8.28,6.54,HS
"Oils, other",0.27,1.03,1.48,0.95,HS
Caloric sweeteners,55.43,64.83,66.45,68.73,HS
"Nuts, total",5.06,8.12,7.5,7.15,HS
Peanuts,3.86,5.67,5.46,5.05,HS
Tree nuts,1.17,2.44,2.05,2.13,HS
"Fruit, total",126.84,110.54,113.5,108.52,college
"Apples, total",22.45,19.98,21,21.86,college
Apples ,15.13,13.53,12.89,12.61,college
Apple juice1,7.85,7.4,8.59,8.31,college
Bananas,13.63,11.8,10.49,11.46,college
Berries,5.34,6.4,7.45,6.6,college
Grapes,7.58,7.09,8.69,9.15,college
Melons,4.87,4.56,4.93,4.61,college
"Oranges, total",42.56,35.44,37.53,30.97,college
Oranges ,4.62,2.72,3.04,2.78,college
Orange juice2,38.1,32.58,34.42,28.19,college
Other citrus fruits,9.86,6.91,5.21,6.38,college
Stone fruits,8.74,7.62,7.52,7.76,college
Tropical fruits,4.86,4.51,3.56,3.96,college
"Vegetables, total",125.73,121.45,118.48,119.68,college
"Brassica, total",7.65,7.68,8.66,8.37,college
Broccoli and cauliflower,3.94,4.08,4.91,4.58,college
Carrots,5.91,4.34,3.69,4.15,college
Celery,2.81,2.18,2.36,2.56,college
Cucumbers,1.53,1.72,2,1.62,college
Green peas,1.9,1.63,1.11,1.6,college
"Leafy vegetables, total",0.37,0.77,0.93,0.72,college
Lettuce,10.49,12.02,10.77,9.47,college
Onions,4.94,5.24,4.98,6.05,college
Peppers,4.42,4.33,4.72,5.69,college
Tomatoes,23.06,20.13,21.59,21.68,college
Sweet corn,6.69,6.23,6.75,4.94,college
Potatoes,32.24,32.63,27.42,29.75,college
