food,1998,2004,2006,2008,gender
"Oils, other",0.83,0.18,0.21,0.21,girls
Caloric sweeteners,27.81,22.52,24.35,22.21,girls
"Nuts, total",1.1,0.71,0.65,0.49,girls
Peanuts,0.87,0.61,0.54,0.34,girls
Tree nuts,0.22,0.08,0.11,0.16,girls
"Fruit, total",17.69,17.01,15.71,15.55,men
"Apples, total",2.55,2.11,1.96,1.79,men
Apples ,1.59,1.32,1.35,0.81,men
Apple juice3,0.98,0.86,0.69,0.96,men
Bananas,0.57,0.63,0.49,0.69,men
Berries,0.77,0.55,0.46,0.58,men
Grapes,0.78,0.94,0.58,0.75,men
Melons,0.99,0.96,0.81,0.83,men
"Oranges, total",6.4,6.6,6.59,5.89,men
Oranges ,0.35,0.17,0.18,0.24,men
Orange juice4,5.97,6.29,6.32,5.63,men
Other citrus fruits,1.99,2.11,1.48,2.57,men
Stone fruits,0.89,0.46,0.47,0.29,men
Tropical fruits,1.29,0.96,1.21,0.73,men
"Vegetables, total",84.75,87.77,83.44,78.32,men
"Brassica, total",3.68,3.81,3.31,3.54,men
Broccoli and cauliflower,1.51,1.82,1.49,1.49,men
Carrots,1.77,1.31,0.97,1.06,men
Celery,1.25,1.1,1,0.67,men
Cucumbers,0.93,0.93,0.84,1.14,men
Green peas,0.56,0.37,0.41,0.45,men
"Leafy vegetables, total",0.25,0.45,0.53,0.48,men
Lettuce,8.97,8.92,8.35,8.27,men
Onions,4.18,5.46,5.14,5.02,men
Peppers,3.43,5.08,5.73,4.63,men
Tomatoes,13.33,16.36,15.38,14.73,men
Sweet corn,2.1,1.41,2.01,1.52,men
Potatoes,40.95,36.63,35.25,32.19,men
Snap beans,1.09,1.32,1.25,0.88,men
"Legumes, dried",2.57,2.75,2.92,2.65,men
"Dairy, total",44.51,32.86,34.34,35.8,men
"Fluid milk, total",24.29,13.88,14.16,14.72,men
"Fluid milk, 1-percent fat5",1.37,1.2,1.24,0.93,men
"Fluid milk, 2-percent fat5",4.84,3.47,2.78,2.88,men
"Fluid milk, skim5",5.8,2.42,2.76,2.84,men
"Fluid milk, whole5",8.99,5.07,5.55,5.88,men
Butter,1.2,0.89,0.79,0.96,men
Cheese,9.28,10.52,11.28,11.55,men
Yogurt,0.35,0.66,0.33,0.69,men
"Dairy, other",2.37,3.3,4.31,4.15,men
"Meat, poultry, and fish, total",77.5,81.11,84.1,78.82,men
"Meat, total",46.19,43.47,45.27,42.3,men
Beef,30.26,28.16,28.95,26.82,men
Pork,13.87,13.66,15.24,14.3,men
"Poultry, total",24.88,30.96,34.39,30.66,men
Chicken,21.54,28.31,30.88,27.65,men
Turkey,2.97,2.5,3.12,2.64,men
Finfish and shellfish,5.88,6.29,4.94,5.67,men
Eggs6,7.52,8.2,8.36,8.33,men
"Grains, total",48.83,52.83,54.11,50.76,men
Corn flour,2.76,3.55,4.07,3.21,men
Oat flour,0.15,0.09,0.14,0.12,men
"Rice, dried",3.47,4.69,4.5,4.78,men
Wheat flour,41.02,42.32,43.19,40.44,men
"Fat and oils, total",24.33,31.4,32.55,31.83,men
Margarine,1.83,1.28,0.95,0.91,men
Salad and cooking oils,9.1,13.68,15.88,18.35,men
Shortening,6.2,10.04,8.38,5.52,men
"Oils, other",0.95,0.22,0.26,0.31,men
Caloric sweeteners,34.3,28.15,30.67,27.66,men
"Nuts, total",1.6,1.41,1.09,1.11,men
Peanuts,1.12,1.1,0.66,0.63,men
Tree nuts,0.51,0.29,0.41,0.47,men
"Fruit, total",13.72,14.88,12.32,12.21,women
"Apples, total",2.09,2.29,2.19,2.22,women
Apples ,1.35,1.17,1.09,1.07,women
Apple juice3,0.78,1.11,1.09,1.11,women
Bananas,0.71,0.59,0.67,0.66,women
Berries,0.92,0.8,0.69,0.92,women
Grapes,0.72,0.66,0.64,0.86,women
Melons,0.9,1.09,0.36,0.7,women
"Oranges, total",3.79,4.24,3.64,3.14,women
Oranges ,0.25,0.29,0.26,0.09,women
Orange juice4,3.49,3.92,3.37,3.03,women
Other citrus fruits,1.83,2.33,1.57,1.71,women
Stone fruits,0.89,1.08,0.86,0.49,women
Tropical fruits,1.09,0.89,1.09,0.91,women
"Vegetables, total",53.4,63.83,56.91,51.18,women
"Brassica, total",2.68,3.2,3.04,2.74,women
Broccoli and cauliflower,1.15,1.48,1.31,1.23,women
Carrots,1.53,1.19,1.09,0.82,women
Celery,1,0.97,0.81,0.61,women
Cucumbers,0.62,0.71,0.69,0.82,women
Green peas,0.4,0.39,0.34,0.3,women
"Leafy vegetables, total",0.21,0.47,0.58,0.43,women
Lettuce,7.18,8.81,9.01,7.25,women
Onions,2.56,3.54,3.2,2.89,women
Peppers,2.29,3.51,3.28,2.59,women
Tomatoes,8.09,10.43,9.6,8.77,women
Sweet corn,1.56,1.5,0.97,1.13,women
Potatoes,21.97,24.72,20.76,19.42,women
Snap beans,0.86,1.08,1.21,1.05,women
"Legumes, dried",1.49,1.43,1.72,1.35,women
"Dairy, total",26.95,25.87,24.68,26.9,women
"Fluid milk, total",13.83,11.24,10.5,11.86,women
"Fluid milk, 1-percent fat5",0.98,1.21,0.87,0.79,women
"Fluid milk, 2-percent fat5",3.29,2.02,1.94,2.76,women
